"conversation_id_str","lang","full_text"
"1721312756245344360","in","Surabaya. Bapakku dan ibuku seorang pedagang pasar. (Aku menangis ketika menulis ini). Bapakku sayang kepadaku begitu juga kakakku.
Singkat cerita, saat covid melanda, aku ditinggal oleh kakakku yang telah dipanggil oleh sang maha kuasa..."
"1720676622016327833","in","@small_mofo_Mk2 Masih inget waktu bu risma tiba2 ngutip2in sampah pas lagi demo UU Ciptaker di Surabaya habis itu balik lagi, random banget.
Belum lagi yang tiba2 sujud nyium kaki dokter pas awal puncak COVID :v"
"1720321738171670672","in","untuk mendukung upaya penanganan COVID-19,"" kata Wali Kota Surabaya, Eri Cahyadi. Puskesmas 24 jam ini dilengkapi dengan fasilitas lengkap dan tenaga medis yang siap melayani masyarakat kapan pun dibutuhkan. Dengan adanya"
"1720066940608368865","in","@iMosmorde Njirrr wkwkwkwk sebelum covid aku malah pulkam ke surabaya 😂😂"
"1718440298655969743","in","Wisma Jerman Surabaya dan EKONID menggelar kembali Oktoberfest setelah tiga tahun vakum pasca pandemi COVID-19. https://t.co/16Zfd2VqVs"
"1718277394505818562","in","That’s why ketika covid dan harus LDR itu gampang banget karena dasarnya we barely met but good at communication. Distance between Sukabumi-Surabaya means nothing😋"
"1717749335092580410","in","@caknuu 01/01/2020, pas malem lg di Bus Lorena Surabaya-Jakarta. Turun di pool Lorena Lebak Bulus, badan panas, batuk2, pusing, sampe 3 minggu gak sembuh2. Mpe heran lama amat sembuhnya. Pas udah ke sininya, baru nyadar kayaknya itu kena Covid. I got covid19 before it was popular."
"1721120566911086860","in","@zzzzzlayz @convomfs Bener banget. di surabaya ada tuh bakso boedjangan baru setahun keknya, udh tutup. Karena covid waktu itu"
"1717132199777243535","in","Bahkan di Surabaya pelaku UMKM bidang kuliner tumbuh pesat hingga 200 persen saat pandemi COVID-19. #publisherstory #beritaanaksurabaya https://t.co/CU73pMhv3T"
"1715976530827034981","in","@FOODFESS2 Akuuu. Dulu di deket rumah ada tapi dah lama sebelum covid keknya. Di surabaya ada lagi dimana ya kira"", tbtb kepengen makan lagi karena emang enakkk"
"1715035607968501888","in","Unusa Diganjar Penghargaan Berkat Kontribusinya pada Pemulihan Pandemi Covid-19 di Jatim. 👇

Universitas Nahdlatul Ulama Surabaya (Unusa) semakin memperkuat reputasinya sebagai kampus… https://t.co/0TXizNo1iv #PendidikanKesehatan #JatimBangkit #rektorunusa via @beritajatimcom"
"1714671834728427859","in","@Khanif_Ssinaldo @sansOnlski @sosmedkeras Semangat semoga sampai pelaminan. Saya juga LDR Jakarta-Surabaya 2th gak pernah ketemu Krn covid. Pertama ketemu langsung di rumahnya besoknya langsung lamaran. Orang tua juga ketemunya pas lamaran."
"1714792785201795583","ja","【Kernel】学術成果を公開しました。
Seroprevalence of SARS-CoV-2 anti-spike IgG antibody among COVID-19 vaccinated individuals residing in Surabaya, East Java, Indonesia
(著: Mori Yasuko et al.)
https://t.co/hfE09njXr9"
"1714098739466707110","in","@KAI121 Halo Min, ayah saya belum melakukan vaksinasi covid sama sekali dengan usia 50 th. Apakah bisa melakukan perjalanan dengan KAI ke Surabaya?"
"1714097525458944279","in","@KAI121 Halo Min, ayah saya belum melakukan vaksinasi covid dengan usia 50 th. Apakah bisa melakukan perjalanan dengan KAI ke Surabaya?"
"1713724717323153590","in","LN Trans, Beri Solusi Pengiriman Barang dari Surabaya Hingga Labuan Bajo. 👇

Masa pandemi Covid-19 justru membawa keberuntungan bagi usaha rintisan asal Surabaya, yaitu LN Trans. -- Ikuti… https://t.co/KFZMZ1qguN #Teknologi #KomunitasStartup #LNTrans #Showup via @beritajatimcom"
"1713350457111056768","in","Singkatnya kaami bingung mau ngungsii dimana, karna rumahku yg disidoarjo yg kami kontrakan, yg rumah mbah manah itu masih dikontrak orang, sedang rumah ortuku masih kacau baalau pasca dikontraj orang, mau ke rumah tante di surabaya, ditolak karna kami terpapar covid katanya"
"1713350457111056768","in","kami ke rs besar di surabaya ditolak semuaaa, akhirnya km ke salah satu rs di sidoarjo, disana tiba² dibilang kalo adekku covid harus dirawat, denger itu aku langsung lemes, tanteku yg bingung dan kakakku gabisa diajak cari solusi"
"1712424662788088259","in","Digelarnya kembali gerak jalan Perjuangan Mojokerto Surabaya ini setelah vakum tiga tahun akibat pandemi COVID-19. #publisherstory #beritaanaksurabaya https://t.co/FNCIBlUKG4"
"1711201202401337596","in","Lowongan Kerja Lidah Buaya Group

SALES

Kualifikasi :
Usia maksimal 35 tahun
Pendidikan minimal SMA/SMK sederajat
Sudah vaksin Covid-19 minimial dosis kedua
Penempatan di Purwokerto, Cirebon, dan Surabaya

Selengkapnya di:
https://t.co/melAx88169"
"1710670594759594074","in","@ChaeliSastro @mizwarx Itu ikea sweden banding ga di pengadilan?
Karena sebelum covid, yg menang itu superman surabaya, akhirnya si DC banding"
"1710870010300858489","in","canon event during college :
- dikatain orang kaya tapi sok miskin karena ga pernah jajan
- ikut proyekan buat bayar utang
- di todong ikut latian debat tiap hari pas covid
- mabok amer sambil ngurus UTS online sebagai kormat
- ditinggal temen ke isekai
- diculik ke surabaya"
