lang,full_text,processed_text,word_tokens,word_weights,polarity_score
in,"mall kios masih tutup kosong sepi, harga beras cabe skrg naik ..
tapi Jokowi klaim Ekonomi Indonesia Telah Pulih dr Pandemi Covid-19, matavisi nya dah mentok gak spt awal2 jd presiden https://t.co/UbaIYcLDfu
KiniSongsong pemimpin sederhana Ganjar Mahfud
Manado Solo Poso Surabaya",mall kios tutup kosong sepi harga beras cabe skrg jokowi klaim ekonomi indonesia pulih dr pandemi covid 19 matavisi nya dah mentok gak spt awal2 jd presiden pemimpin sederhana ganjar mahfud manado solo poso surabaya ,"['mall', 'kios', 'tutup', 'kosong', 'sepi', 'harga', 'beras', 'cabe', 'skrg', 'jokowi', 'klaim', 'ekonomi', 'indonesia', 'pulih', 'dr', 'pandemi', 'covid', '19', 'matavisi', 'nya', 'dah', 'mentok', 'gak', 'spt', 'awal2', 'jd', 'presiden', 'pemimpin', 'sederhana', 'ganjar', 'mahfud', 'manado', 'solo', 'poso', 'surabaya']","[0, 0, '-2', '-4', '-3', '3', 0, '-2', 0, 0, 0, 0, 0, 0, 0, '-5', 0, 0, 0, 0, '-3', '-5', 0, 0, 0, 0, '3', 0, '3', '5', 0, 0, '2', 0, 0]",-8
in,Komisi Pemberantasan Korupsi (KPK) menggeledah beberapa lokasi di Jabodetabek dan Surabaya dalam rangka penyidikan kasus dugaan korupsi pengadaan alat pelindungan diri (APD) Covid-19 di Kementerian Kesehatan. https://t.co/wMHQlAeKhL,komisi pemberantasan korupsi kpk menggeledah lokasi jabodetabek surabaya rangka penyidikan dugaan korupsi pengadaan alat pelindungan apd covid 19 kementerian kesehatan ,"['komisi', 'pemberantasan', 'korupsi', 'kpk', 'menggeledah', 'lokasi', 'jabodetabek', 'surabaya', 'rangka', 'penyidikan', 'dugaan', 'korupsi', 'pengadaan', 'alat', 'pelindungan', 'apd', 'covid', '19', 'kementerian', 'kesehatan']","['3', 0, '-4', 0, 0, 0, 0, 0, 0, 0, 0, '-4', 0, 0, 0, 0, 0, 0, 0, 0]",-5
tl,@heyitscindyhere Surabaya before covid hit :),surabaya before covid hit smile ,"['surabaya', 'before', 'covid', 'hit', 'smile']","[0, 0, 0, 0, 0]",0
in,suasananya mirip banget waktu tiba tiba covid dan harus balik ke bwi untuk ga ngekos di surabaya😭 SEPI BGTTTTTTTTTTTTTTT,suasananya banget covid bwi ga ngekos surabaya sepi bgtt ,"['suasananya', 'banget', 'covid', 'bwi', 'ga', 'ngekos', 'surabaya', 'sepi', 'bgtt']","[0, '1', 0, 0, 0, 0, 0, '-3', 0]",-2
in,@Alfianwisnu087 Alhamdulillah mas jalur Surabaya konsisten mulai rame kaya jaman pra covid dulu.,alhamdulillah ma jalur surabaya konsisten rame kaya jaman pra covid ,"['alhamdulillah', 'ma', 'jalur', 'surabaya', 'konsisten', 'rame', 'kaya', 'jaman', 'pra', 'covid']","['5', 0, '-4', 0, 0, '2', '2', '-2', 0, 0]",3
in,"semua happy.

bcs mama setelah 4 tahun baru naik kereta lagi (krn pas sebelum covid itu dinas di bandung), dan akunya seneng juga naik eksekutif.

krn jujurly punggungku sering sakit kalo duduknya ga bener. kalo naik ekonomi kan tegak banget ya apalagi ke surabaya juga jauh bgt https://t.co/1HI4cGuKTx",happy bcs mama kereta krn pa covid dinas bandung akunya seneng eksekutif krn jujurly punggungku sakit kalo duduknya ga bener kalo ekonomi tegak banget ya surabaya bgt ,"['happy', 'bcs', 'mama', 'kereta', 'krn', 'pa', 'covid', 'dinas', 'bandung', 'akunya', 'seneng', 'eksekutif', 'krn', 'jujurly', 'punggungku', 'sakit', 'kalo', 'duduknya', 'ga', 'bener', 'kalo', 'ekonomi', 'tegak', 'banget', 'ya', 'surabaya', 'bgt']","['5', 0, '4', '-4', 0, '-5', 0, 0, '-1', '-1', '5', 0, 0, 0, 0, '-5', 0, 0, 0, '3', 0, 0, 0, '1', '4', 0, 0]",6
in,yang terakhir aku lupa perkara surabaya gempa atau covid https://t.co/qKwHnOA2Ya,lupa perkara surabaya gempa covid ,"['lupa', 'perkara', 'surabaya', 'gempa', 'covid']","['1', '-4', 0, '4', 0]",1
in,"1. Awal² sma ortu bangkrut
2. Lulus langsung keterima kampus negri tapi pas dijalani gak mampu walau ada bea siswa
3. Ngerantau ke Surabaya cari duit
4. Covid bikin planning ancur semua
5. 2020 buka usaha peternakan ayam
6. Alhamdulillah sekarang udah lancar
7. Lagi upgrade usaha",sma ortu bangkrut lulu langsung keterima kampus negri pa dijalani gak bea siswa ngerantau surabaya cari duit covid bikin planning ancur 2020 buka usaha peternakan ayam alhamdulillah udah lancar upgrade usaha ,"['sma', 'ortu', 'bangkrut', 'lulu', 'langsung', 'keterima', 'kampus', 'negri', 'pa', 'dijalani', 'gak', 'bea', 'siswa', 'ngerantau', 'surabaya', 'cari', 'duit', 'covid', 'bikin', 'planning', 'ancur', '2020', 'buka', 'usaha', 'peternakan', 'ayam', 'alhamdulillah', 'udah', 'lancar', 'upgrade', 'usaha']","[0, 0, '-5', 0, '3', 0, 0, 0, '-5', 0, 0, 0, '3', 0, 0, '-3', 0, 0, 0, 0, 0, 0, '3', '1', 0, 0, '5', 0, '4', 0, '1']",7
in,@03__nakula @KhofifahIP Bu @KhofifahIP pernah bikin mantan walikota Surabaya bu Tri Rismaharini marah gara-gara bantuan peralatan tes pengujian virus covid 19 dari pemerintah pusat yang seharusnya ditujukan ke Surabaya malah dialihkan bu @KhofifahIP ke daerah lain,bu bikin mantan walikota surabaya bu tri rismaharini marah gara gara bantuan peralatan te pengujian virus covid 19 pemerintah pusat surabaya dialihkan bu daerah ,"['bu', 'bikin', 'mantan', 'walikota', 'surabaya', 'bu', 'tri', 'rismaharini', 'marah', 'gara', 'gara', 'bantuan', 'peralatan', 'te', 'pengujian', 'virus', 'covid', '19', 'pemerintah', 'pusat', 'surabaya', 'dialihkan', 'bu', 'daerah']","[0, 0, '-3', 0, 0, 0, 0, 0, '-5', '-4', '-4', 0, 0, 0, 0, 0, 0, 0, 0, '3', 0, 0, 0, 0]",-13
in,trs setelahnya biasanya pulang ke surabaya! justru sejak smp tiap tahun natalannya selalu di surabaya (kecuali pas covid dan tahun lalu). i always correlate xmas w sby sksksk WOY IM ABOUT TO CRY I CANT GO BACK TO THOSE DAYS NO MORE,trs setelahnya pulang surabaya smp natalannya surabaya kecuali pa covid always correlate xmas sby sksksk woy im about to cry cant go back to those day no more ,"['trs', 'setelahnya', 'pulang', 'surabaya', 'smp', 'natalannya', 'surabaya', 'kecuali', 'pa', 'covid', 'always', 'correlate', 'xmas', 'sby', 'sksksk', 'woy', 'im', 'about', 'to', 'cry', 'cant', 'go', 'back', 'to', 'those', 'day', 'no', 'more']","[0, 0, 0, 0, 0, 0, 0, 0, '-5', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, '-3', 0, 0, 0, 0, 0, 0, 0, 0]",-8
